projectNumber,name,office,projectStatus,duties,lastUpdated,description,architect,externalContact,projectPartner,projectLeader
991258,Porth Teigr Residential,Cardiff,Briefing (RIBA stage B),Performance Duties,03 Jul 2013,60 houses and 18 apartments and site infrastructure diversions,Loyn & Co (Penarth),Chris Loyn,John Rhoden,Neil Plow
991259,SWP Bridgend Custody Suite,Cardiff,Construction (RIBA stage K),Other,08 Jul 2013,Custody suite and associated office. Inter-office with Birmingham,Archial Architects (Birmingham),Volker Gotz,Wynne Harris,Wynne Harris
991260,SWP Merthyr Tydfil,Cardiff,Construction (RIBA stage K),Other,08 Jul 2013,Custody suite and associated office. Inter-office with Birmingham,Archial Architects (Birmingham),Volker Gotz,Wynne Harris,Wynne Harris
991261,"Royal Lion Hotel, Tenby",Cardiff,Report Only,Report,10 Jul 2013,survey and report,None,,Wynne Harris,Neale Lewis
991262,OUH JR1 Maternity Block Report,Cardiff,Appraisal (RIBA stage A),Report,15 Jul 2013,Report to evaluate the existing electrical services at the Maternity Block at John Radcliff Hospital,Gray Baynes & Shew LLP (gbs architects),Nigel Spawton,Peter Wells,Peter Wells
991263,Home Park Plymouth,Cardiff,Outline Proposals (RIBA stage C),Abridged Duties,24 Jul 2013,"Re-development of Plymouth Argyle football ground with new grandstand, retail, ice rink, cinema and hotel.",BDP (Bristol),,Jerry Barnes,Neil Plow
991264,Prospect Place,Cardiff,Briefing (RIBA stage B),Full Duties,19 Jul 2013,Remedial works to swimming pool ventilation system. Communal pool for residents.,None,,Peter Wells,Ken Briggs
991265,Langland Court Houses,Cardiff,Outline Proposals (RIBA stage C),Performance Duties,18 Jul 2013,New housing development,Huw Griffiths Architects (Swansea),,Wynne Harris,Neale Lewis
991266,Gower College,Cardiff,Outline Proposals (RIBA stage C),Abridged Duties,30 Jul 2013,"Amalgamation of 2 college campuses at Tycoch,gorseinon to form the new Gower College.",Powell Dobson Architects (Cardiff),,Wynne Harris,Andrew Thomas
991267,Eastbourne College 150,Cardiff,Briefing (RIBA stage B),Full Duties,05 Aug 2013,New build leisure and education complex at Eastbourne College comprising Sports Hall 6 Lane 25M swimming pool squash courts fitness suite studios kitchen and dining room classroom block (27 classrooms),Miller Bourne Architects (Hove),Carol Meade,Peter Wells,Peter Wells
991268,PCH Refurbishment FBC - Contract 1 (Enabling Works),Cardiff,Outline Proposals (RIBA stage C),Framework Agreement,06 Aug 2013,Enabling works for phased refurbishement and modelling of clinical floors in existing District General Hospital. Phased asbestos stripout and full replacement and upgrade of services infrastructure.,Boyes Rees Architects (Cardiff),,Peter Wells,Neil Plow
991269,PCH Refurbushment FBC - Contract 2 (Sequence 1 & 2),Cardiff,Outline Proposals (RIBA stage C),Framework Agreement,06 Aug 2013,Phased refurbishment and remodelling of clinical floors in existing District General Hospital. Phased asbestos strip throughout and full replacement and upgrade of services infrastructure.,Boyes Rees Architects (Cardiff),,Peter Wells,Neil Plow
991270,JR Hospital Maternity Theatre Refurbishment,Cardiff,Report Only,Report,30 Aug 2013,Feasibility study for phased refurbishment of 3 No. operating theatres at Maternity Department at John Radcliffe Hospital,Gray Baynes & Shew LLP (gbs architects),Jacqui Heslop,Peter Wells,Neil Plow
991271,Didcot Leisure Centre,Cardiff,Appraisal (RIBA stage A),Abridged Duties,05 Sep 2013,"New build Leisure Centre to include leisure and competitive pools, learner pool, sports hall, squash courts, gym, dance studios, external artificial pitches and tennis courts.",LA Architects Limited (Lewes),Mike Lawless,Peter Wells,Peter Wells
991272,Hakin School,Cardiff,Appraisal (RIBA stage A),Stage C/D only,09 Sep 2013,New build infants and junior school in Milford Haven to meet BREEAM Excellent standards.,,,Peter Wells,Peter Wells
991273,"Public Realm Walkway and Bridge, Porth Teigr",Cardiff,Outline Proposals (RIBA stage C),Abridged Duties,09 Sep 2013,Utility supplies for public realm lighting,LDA Design (Exeter),,Wynne Harris,Andrew Thomas
991274,Parc Tawe Retail Units Refurbishment,Cardiff,Outline Proposals (RIBA stage C),Performance Duties,17 Sep 2013,"Refurbishment of existing retail unit, relocation of existing tenants, new units and ancillary works.",,,Wynne Harris,Chris Griffiths
991275,Neath Port Talbot College,Cardiff,Briefing (RIBA stage B),Stage C/D only,20 Sep 2013,New Build Sixth Form College,Rio Architects Ltd (Cardiff),Richard Roberts,Wynne Harris,Andrew Thomas
991276,Knox Court Survey,Cardiff,Report Only,Report,18 Sep 2013,Dilapidation Survey of Knox Court,None,,Wynne Harris,Neil Plow
991277,Neath Port Talbot Hospital Residential Block Refurb,Cardiff,Briefing (RIBA stage B),Framework Agreement,19 Sep 2013,Refurbishment of residential blocks into office accommodation,None,,Peter Wells,Neil Plow
991278,Cwmbran Shopping Centre,Cardiff,Appraisal (RIBA stage A),Report,20 Sep 2013,Investigation of existing utility services that may require diversions,Holder Mathias Architects (London),,John Rhoden,Neil Plow
991279,Singleton Hospital Aseptic & Radiopharmacy,Cardiff,Briefing (RIBA stage B),Framework Agreement,23 Sep 2013,Initially MEP advice for NHS Workstage 0/1 for proposed Aseptic & Radiopharmacy Department at Singleton Hospital,HL Design (St Athan),Glyn Lewis,Peter Wells,Neil Plow
991280,Prince Charles Hospital Undergraduate Centre,Cardiff,Briefing (RIBA stage B),Abridged Duties,30 Sep 2013,Educational facility at Prince Charles Hospital for undergraduate training,Boyes Rees Architects (Cardiff),,Peter Wells,Andrew Thomas
991281,Singleton Hospital Infrastructure,Cardiff,Report Only,Framework Agreement,22 Oct 2013,Condition surveys and high level proposals for priority infrastructure upgrades for strategic outline business case.,None,,Peter Wells,Neil Plow
991282,Briton Ferry Health Centre,Cardiff,Detailed Proposals (RIBA stage D),Other,28 Oct 2013,New build Health Centre at Briton Ferry,Rio Architects Ltd (Cardiff),,Wynne Harris,Andrew Thomas
991283,St Eli Retail Centre,Cardiff,Report Only,Report,29 Oct 2013,Survey of shopping centre,None,,Wynne Harris,Neil Plow
991285,Nine Elms Peer Review,Cardiff,Report Only,Report,14 Nov 2013,"Peer Review of MEP Design for Whitecode Building Services - Block G, Block K, Sainsbury's/Commercial/Retail Interfaces - Car Park/Support Accommodation - Site Infreastructure - Energy Centre Schematic Design",Rolfe Judd (London),,Peter Wells,Chris Griffiths
1004225,Art Hotel - London - Acoustics,Acoustics,Ongoing,Abridged Duties,30 Jul 2013,Acoustics,,,Jo Edwards,Brian Dennis
1004904,Oldham College - Building B,Acoustics,Ongoing,Abridged Duties,20 Jun 2013,Acoustics,,,Jo Edwards,Sophie Maluski
1004976,Said Business School - Noisy Rooftop Fan - Oxford,Acoustics,Appraisal (RIBA stage A),Abridged Duties,30 Jul 2013,Acoustics,,,Andrew Bullmore,Gael Vilatarsana
1004980,St Joseph's School - Headington,Acoustics,Ongoing,Abridged Duties,23 May 2013,Acoustics,,,Andrew Bullmore,Gael Vilatarsana
1004986,Wednesbury Leisure Centre,Acoustics,Ongoing,Abridged Duties,24 May 2013,Acoustics,,,Jo Edwards,David Morris
1004987,Rabobank - AHU 1 & 2 vibration & noise,Acoustics,Ongoing,Abridged Duties,04 Jun 2013,Acoustics,,,Jo Edwards,Barry Jobling
1004988,Animal Husbandry Centre - Bicton College - Construction,Acoustics,Ongoing,Abridged Duties,04 Jun 2013,Acoustics,,,Andrew Bullmore,Karl Simpson
1004993,Crook Hill - Due Diligence Review,Acoustics,Ongoing,Abridged Duties,17 Jul 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1004994,Ealing Special Schools - Castlelbar School,Acoustics,Ongoing,Abridged Duties,07 Jun 2013,Acoustics,,,Jo Edwards,Barry Jobling
1004997,Henkel - Hemel Hempstead,Acoustics,Ongoing,Abridged Duties,07 Jun 2013,Acoustics,,,Jo Edwards,David Morris
1005000,Greenwich Peninsula - Central Hub,Acoustics,Ongoing,Abridged Duties,11 Jun 2013,Acoustics,,,Jo Edwards,Barry Jobling
1005001,Baillie Wind Farm - Operational Noise Measurements - (BWF Ltd),Acoustics,Ongoing,Abridged Duties,11 Jun 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005004,Loughborough University - HEBS 2 - BREEAM Pre-completion Testing,Acoustics,Ongoing,Abridged Duties,19 Jun 2013,Acoustics,,,Andrew Bullmore,David Morris
1005005,20 Grosvenor Square - Stage D+ - Acoustics (I-O),Acoustics,Appraisal (RIBA stage A),Abridged Duties,30 Jul 2013,Acoustics,,,Jo Edwards,Brian Dennis
1005006,Green Point - Edgware Road - Barnet,Acoustics,Ongoing,Abridged Duties,20 Jun 2013,Acoustics,,,Jo Edwards,David Morris
1005007,44 Kingfisher Road - Portishead,Acoustics,Ongoing,Abridged Duties,20 Jun 2013,Acoustics,,,Andrew Bullmore,Jeremy Butt
1005008,Taurbeg Wind Farm - Ireland - Long Term Monitoring,Acoustics,Ongoing,Abridged Duties,20 Jun 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005009,East Berkshire College - Construction Stage,Acoustics,Ongoing,Abridged Duties,20 Jun 2013,Acoustics,,,Jo Edwards,Barry Jobling
1005011,Vauxhall City Farm - Acoustics,Acoustics,Ongoing,Abridged Duties,21 Jun 2013,Acoustics,,,Jo Edwards,Brian Dennis
1005014,University of Edinburgh - Research Project: Visual-Shadow-Noise Impacts of Onshore Wind Farms,Acoustics,Ongoing,Abridged Duties,21 Jun 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005016,Welborne Plan - Environmental Noise Assessment,Acoustics,Ongoing,Abridged Duties,02 Jul 2013,Acoustics,,,Jo Edwards,Brian Dennis
1005017,Mill Farm - Wesham - Proposed Sports Village - Acoustics,Acoustics,Ongoing,Abridged Duties,30 Jul 2013,Acoustics,None,,Andrew Bullmore,Richard Carter
1005019,Newmarket Road - Cambridge - Construction Noise Assessment,Acoustics,Ongoing,Abridged Duties,02 Jul 2013,Acoustics,,,Jo Edwards,David Morris
1005022,Louth Canal Wind Farm - PI,Acoustics,Ongoing,Abridged Duties,03 Jul 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005023,Land East of Windmill Meadow - Whitchurch Road - Wem,Acoustics,Ongoing,Abridged Duties,03 Jul 2013,Acoustics,,,Andrew Bullmore,David Morris
1005024,Renewable UK - Acoustic Seminars,Acoustics,Ongoing,Abridged Duties,03 Jul 2013,"Acoustics Receipts need to be submitted with invoice. Expenses only, client paying for travel but not accommodation.",,,Andrew Bullmore,Richard Carter
1005028,JLR - Castle Bromwich - Press Shop D-line & Toolroom,Acoustics,Ongoing,Abridged Duties,20 Aug 2013,Acoustics,,,Jo Edwards,David Morris
1005029,Tallentire Wind Farm - Noise Complaints,Acoustics,Ongoing,Abridged Duties,08 Jul 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005030,Newmarket Road - Cambridge,Acoustics,Ongoing,Abridged Duties,08 Jul 2013,Acoustics,,,Jo Edwards,David Morris
1005032,Ruskin School of Art - University of Oxford,Acoustics,Ongoing,Abridged Duties,10 Jul 2013,Acoustics,,,Andrew Bullmore,Gael Vilatarsana
1005034,19 Buckingham Gate - Acoustics,Acoustics,Appraisal (RIBA stage A),Abridged Duties,30 Jul 2013,Acoustics,,,Jo Edwards,Barry Jobling
1005035,BPMA Mail Rail - Noise & Vibration Assessment,Acoustics,Ongoing,Abridged Duties,11 Jul 2013,Acoustics,,,Jo Edwards,Barry Jobling
1005036,Land East of Cold Harbour Lane - Bristol,Acoustics,Ongoing,Abridged Duties,11 Jul 2013,Acoustics,,,Andrew Bullmore,Karl Simpson
1005040,Keithney Farm - Wind Turbine,Acoustics,Ongoing,Abridged Duties,16 Jul 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005041,Berry Fen Wind Farm - EIA,Acoustics,Ongoing,Abridged Duties,16 Jul 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005043,Greenwich Peninsula Riverside - Phase 2,Acoustics,Ongoing,Abridged Duties,05 Aug 2013,"Acoustics Phase 2 for Plots M0103, M0104, M0116, M0119 & M0121.",,,Jo Edwards,Barry Jobling
1005045,PMU Torbay - Acoustics,Acoustics,Ongoing,Abridged Duties,17 Jul 2013,Acoustics,,,Andrew Bullmore,Karl Simpson
1005046,West Street - Biddulph,Acoustics,Ongoing,Abridged Duties,18 Jul 2013,Acoustics,,,Jo Edwards,David Morris
1005048,Kings Chapel School - Acoustics,Acoustics,Ongoing,Abridged Duties,07 Oct 2013,Acoustics,,,Jo Edwards,Barry Jobling
1005049,Latymer Upper School - Hammersmith - Sports Centre,Acoustics,Ongoing,Abridged Duties,22 Jul 2013,Acoustics,,,Jo Edwards,Barry Jobling
1005050,Corlarach Wind Farm - NIA,Acoustics,Ongoing,Abridged Duties,22 Jul 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005053,72 Kingfisher Road (Mr Settle) - Sound Test,Acoustics,Ongoing,Abridged Duties,23 Jul 2013,Acoustics,,,Andrew Bullmore,Jeremy Butt
1005054,BMHT Development Sites - Millward Street - Small Heath,Acoustics,Ongoing,Abridged Duties,23 Jul 2013,Acoustics,,,Jo Edwards,David Morris
1005055,BMHT Development Sites - Heaton Road - Hockley,Acoustics,Ongoing,Abridged Duties,23 Jul 2013,Acoustics,,,Jo Edwards,David Morris
1005056,BMHT Development Sites - Gladstone Street - Aston,Acoustics,Ongoing,Abridged Duties,23 Jul 2013,Acoustics,,,Jo Edwards,David Morris
1005057,50 Avenue Road - London - Acoustics,Acoustics,Ongoing,Abridged Duties,01 Aug 2013,Acoustics,,,Jo Edwards,Brian Dennis
1005059,Science Museum - Post Office Building,Acoustics,Ongoing,Abridged Duties,02 Aug 2013,Acoustics,,,Jo Edwards,Barry Jobling
1005060,Maple House - 37-45 City Road - Acoustics,Acoustics,Outline Proposals (RIBA stage C),Abridged Duties,02 Aug 2013,Acoustics,Buckley Gray Yeoman (London),,Jo Edwards,Barry Jobling
1005061,Birmingham Hippodrome Theatre - Atrium,Acoustics,Ongoing,Abridged Duties,02 Aug 2013,Acoustics,,,Jo Edwards,David Morris
1005062,55-65 North Wharf Road - London - Acoustics,Acoustics,Ongoing,Abridged Duties,02 Aug 2013,Acoustics,,,Jo Edwards,Brian Dennis
1005063,R S Farmah & Sons - Noise Assessment,Acoustics,Ongoing,Abridged Duties,02 Aug 2013,Acoustics,,,Jo Edwards,David Morris
1005064,Blandford Hill - Winterbourne - Dorset - NIA,Acoustics,Ongoing,Abridged Duties,02 Aug 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005065,Old River Don Wind Farm - NIA,Acoustics,Ongoing,Abridged Duties,02 Aug 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005066,Bamff Wind Farm - Appeal (SPR),Acoustics,Ongoing,Abridged Duties,05 Aug 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005067,Gazelle House - RNAS Yeovilton,Acoustics,Ongoing,Abridged Duties,05 Aug 2013,Acoustics,,,Andrew Bullmore,Karl Simpson
1005068,Westminster University - West End Project Sound Test,Acoustics,Ongoing,Abridged Duties,11 Sep 2013,Acoustics,,,Jo Edwards,Barry Jobling
1005069,22 Buckingham Gate - Revised Planning Application F1,Acoustics,Ongoing,Abridged Duties,05 Aug 2013,Acoustics,,,Jo Edwards,Barry Jobling
1005070,National Gymnastics Arena (NGA) - Azerbaijan - PAVA Systems,Acoustics,Ongoing,Abridged Duties,19 Aug 2013,Billing Broadway Malyan via HL Europe Ltd. Acoustics,,,Jo Edwards,Barry Jobling
1005071,373-375 Euston Road - London - Acoustics,Acoustics,Appraisal (RIBA stage A),Abridged Duties,05 Aug 2013,Acoustics,,,Jo Edwards,Brian Dennis
1005073,Parliament Hill & William Ellis Schools - Acoustics,Acoustics,Ongoing,Abridged Duties,23 Oct 2013,Acoustics,,,Jo Edwards,Brian Dennis
1005074,15 Cavendish Avenue - London (WA Ltd),Acoustics,Ongoing,Abridged Duties,07 Aug 2013,Acoustics,,,Jo Edwards,Brian Dennis
1005075,82 New Cavendish Street,Acoustics,Ongoing,Abridged Duties,07 Aug 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005076,Shipton Mill - Frampton-on-Severn,Acoustics,Ongoing,Abridged Duties,07 Aug 2013,Acoustics,,,Andrew Bullmore,Karl Simpson
1005077,Zayed University - Fume Cupboard Acoustic Design,Acoustics,Ongoing,Abridged Duties,07 Aug 2013,Acoustics,,,Jo Edwards,Brian Dennis
1005078,Stewart House - Carlton Hayes Hospital - Narborough,Acoustics,Ongoing,Abridged Duties,08 Aug 2013,Acoustics,,,Jo Edwards,David Morris
1005079,Glenfield Hospital - Leicester - CAMHS,Acoustics,Ongoing,Abridged Duties,08 Aug 2013,Acoustics,,,Jo Edwards,David Morris
1005080,Materials Innovation Factory - University of Liverpool,Acoustics,Ongoing,Abridged Duties,08 Aug 2013,Acoustics,,,Jo Edwards,Sophie Maluski
1005081,The Moat House - Dorsington,Acoustics,Ongoing,Abridged Duties,08 Aug 2013,Acoustics,,,Jo Edwards,David Morris
1005082,European Bio-Energy Research Building (EBRI) - Aston University - Catalysis Lab,Acoustics,Ongoing,Abridged Duties,08 Aug 2013,Acoustics,,,Jo Edwards,David Morris
1005083,West Bromwich Leisure Centre,Acoustics,Ongoing,Abridged Duties,12 Aug 2013,Acoustics,,,Jo Edwards,David Morris
1005084,Heliport House - Re-development,Acoustics,Ongoing,Abridged Duties,12 Aug 2013,Acoustics,,,Jo Edwards,Barry Jobling
1005085,Bermuda Road - Nuneaton,Acoustics,Ongoing,Abridged Duties,12 Aug 2013,Acoustics,,,Jo Edwards,David Morris
1005086,Cottam Wind Farm - NIA,Acoustics,Ongoing,Abridged Duties,13 Aug 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005087,White Rock - Paignton,Acoustics,Ongoing,Abridged Duties,13 Aug 2013,Acoustics,,,Andrew Bullmore,Karl Simpson
1005088,Earlseat Wind Farm - Due Diligence,Acoustics,Ongoing,Abridged Duties,14 Aug 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005089,Former Bishop Wilson School - Pike Drive - Chelmsley,Acoustics,Ongoing,Abridged Duties,16 Aug 2013,Acoustics,,,Jo Edwards,David Morris
1005090,Slade End Farm - Wallingford - EIA Revised Scheme (BH (UR) Ltd),Acoustics,Ongoing,Abridged Duties,19 Aug 2013,Acoustics,,,Jo Edwards,Barry Jobling
1005091,Black Law - Spoutscross Data Analysis,Acoustics,Ongoing,Abridged Duties,19 Aug 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005092,King Edward VI College - Stourbridge,Acoustics,Ongoing,Abridged Duties,19 Aug 2013,Acoustics,,,Jo Edwards,David Morris
1005093,Ladywood House - Birmingham,Acoustics,Ongoing,Abridged Duties,19 Aug 2013,Acoustics,,,Jo Edwards,David Morris
1005094,Lion Medical Centre - Stourbridge,Acoustics,Ongoing,Abridged Duties,22 Aug 2013,Acoustics,,,Jo Edwards,David Morris
1005095,Reaps Moss Wind Farm - Due Diligence Review,Acoustics,Ongoing,Abridged Duties,22 Aug 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005096,Bestwood Business Park Redevelopment,Acoustics,Ongoing,Abridged Duties,22 Aug 2013,Acoustics,,,Jo Edwards,David Morris
1005097,Imperial College London - M&E Stage E Review,Acoustics,Construction (RIBA stage K),Abridged Duties,13 Nov 2013,Acoustics 05/11/2013 GV Transferred from him to BJ a Team Leader 12/11/2013 BJ Fees reduced to match new drawdown,,,Jo Edwards,Barry Jobling
1005098,Sancton Hill Wind Farm - Noise Complaint Investigations,Acoustics,Ongoing,Abridged Duties,02 Sep 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005099,Royal Mail Delivery Office - 213-215 New North Road,Acoustics,Ongoing,Abridged Duties,04 Sep 2013,Acoustics,,,Jo Edwards,Barry Jobling
1005100,Goonhilly 2 Wind Farm - Extensions - NIA,Acoustics,Ongoing,Abridged Duties,04 Sep 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005101,Accenture 4th floor fit-out - Acoustics,Acoustics,Ongoing,Abridged Duties,05 Sep 2013,Acoustics,,,Jo Edwards,Barry Jobling
1005102,Former Dog Inn - Church Street - Harbury,Acoustics,Ongoing,Abridged Duties,05 Sep 2013,Acoustics,,,Jo Edwards,David Morris
1005103,Land Off Sycamore Close - Stockton,Acoustics,Ongoing,Abridged Duties,05 Sep 2013,Acoustics,,,Jo Edwards,David Morris
1005104,Berkshire College of Agriculture - Acoustics,Acoustics,Ongoing,Abridged Duties,05 Sep 2013,Acoustics,,,Jo Edwards,Barry Jobling
1005105,Project Uno - SEGRO Office Relocation,Acoustics,Ongoing,Abridged Duties,06 Sep 2013,Acoustics,,,Andrew Bullmore,Gael Vilatarsana
1005106,Queen’s University Belfast - Acoustic Noise Contour Model & Flue Discharge Assessment,Acoustics,Ongoing,Abridged Duties,06 Sep 2013,Acoustics,,,Jo Edwards,Sophie Maluski
1005107,Bourne Business Park - Acoustics,Acoustics,Ongoing,Abridged Duties,06 Sep 2013,Acoustics,,,Jo Edwards,Barry Jobling
1005108,Asserby Wind Farm - NIA,Acoustics,Ongoing,Abridged Duties,10 Sep 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005109,Barmoor Red House Wind Farm - NIA,Acoustics,Ongoing,Abridged Duties,11 Sep 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005110,Manchester City Council - Chapel Street Primary School,Acoustics,Ongoing,Abridged Duties,12 Sep 2013,Acoustics,,,Jo Edwards,Sophie Maluski
1005111,Manchester City Council - St Lukes Primary School,Acoustics,Ongoing,Abridged Duties,12 Sep 2013,Acoustics,,,Jo Edwards,Sophie Maluski
1005112,Bristol Zoological Gardens - Conservation Education Centre,Acoustics,Ongoing,Abridged Duties,12 Sep 2013,Acoustics,,,Andrew Bullmore,Gael Vilatarsana
1005113,Midland Road NE - Bath,Acoustics,Ongoing,Abridged Duties,13 Sep 2013,Acoustics,,,Andrew Bullmore,Jeremy Butt
1005114,Primark - Canterbury - Acoustics,Acoustics,Ongoing,Abridged Duties,16 Sep 2013,Acoustics,,,Jo Edwards,Brian Dennis
1005115,2 Millharbour - Acoustics,Acoustics,Ongoing,Abridged Duties,16 Sep 2013,Acoustics,,,Jo Edwards,Brian Dennis
1005116,Threshers - 46-48 Wheel Lane - Lichfield,Acoustics,Ongoing,Abridged Duties,17 Sep 2013,Acoustics,,,Jo Edwards,David Morris
1005117,39-40 Lowndes Square - Acoustics,Acoustics,Ongoing,Abridged Duties,18 Sep 2013,Acoustics,,,Jo Edwards,Barry Jobling
1005118,90 94 & 95 Piccadilly - Updated Planning (I-O),Acoustics,Ongoing,Abridged Duties,18 Sep 2013,Acoustics,,,Jo Edwards,Brian Dennis
1005119,Ovington Square,Acoustics,Ongoing,Abridged Duties,18 Sep 2013,Acoustics,,,Jo Edwards,Brian Dennis
1005120,London Road - Barking - Reception - Acoustics,Acoustics,Ongoing,Abridged Duties,18 Sep 2013,Acoustics,,,Jo Edwards,Barry Jobling
1005121,Ealing Special Schools - Springhallow School,Acoustics,Ongoing,Abridged Duties,18 Sep 2013,Acoustics,,,Jo Edwards,Barry Jobling
1005122,Capitol Way Construction Stage,Acoustics,Ongoing,Other,25 Sep 2013,The scheme consists of 460 apartments plus a significant commercial area and car parking in 5 blocks A-E.,None,,Jo Edwards,Barry Jobling
1005123,Ernst & Young - Luton,Acoustics,Ongoing,Abridged Duties,24 Sep 2013,Acoustics,,,Andrew Bullmore,Jeremy Butt
1005125,Princess Alice Drive - Sutton Coldfield - Barrier Assessment,Acoustics,Ongoing,Abridged Duties,03 Oct 2013,Acoustics,,,Jo Edwards,David Morris
1005126,Battersea Power Station - MEP Acoustics,Acoustics,Ongoing,Abridged Duties,03 Oct 2013,Acoustics,,,Andrew Bullmore,Jeremy Butt
1005127,Land at and Adjacent to Mulgrove Farm - Old Gloucester Road,Acoustics,Ongoing,Abridged Duties,04 Oct 2013,Acoustics,,,Andrew Bullmore,Gael Vilatarsana
1005128,ACE Dance & Music - Flood Gate Street - Birmingham,Acoustics,Ongoing,Abridged Duties,04 Oct 2013,Acoustics,,,Jo Edwards,David Morris
1005129,Wind Turbine Noise Assessment - Training Day - REHIS,Acoustics,Ongoing,Abridged Duties,04 Oct 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005130,Jacks Lane Wind Farm - Planning Conditions,Acoustics,Ongoing,Abridged Duties,04 Oct 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005131,St Mary Eliott School - Land off Brewer Street - Walsall,Acoustics,Ongoing,Abridged Duties,04 Oct 2013,Acoustics,,,Jo Edwards,David Morris
1005132,Fusion Building - Bournemouth University - M&E Acoustics,Acoustics,Ongoing,Abridged Duties,07 Oct 2013,Acoustics,,,Jo Edwards,Brian Dennis
1005133,Bishopsgate Goods Yards - Acoustics,Acoustics,Ongoing,Abridged Duties,07 Oct 2013,Acoustics,,,Jo Edwards,Barry Jobling
1005134,Rykneld Primary School - Branston,Acoustics,Ongoing,Abridged Duties,07 Oct 2013,Acoustics,,,Jo Edwards,David Morris
1005135,Birmingham City University - Phase 1 - VR004,Acoustics,Ongoing,Abridged Duties,09 Oct 2013,Acoustics,,,Andrew Bullmore,David Morris
1005136,291 Harrow Road - NIA,Acoustics,Ongoing,Abridged Duties,07 Oct 2013,Acoustics,,,Jo Edwards,Barry Jobling
1005137,Manchester Coroner's Court,Acoustics,Ongoing,Abridged Duties,07 Oct 2013,Acoustics,,,Jo Edwards,Sophie Maluski
1005138,Hakin School - Pembrokeshire - Acoustics,Acoustics,Ongoing,Abridged Duties,07 Oct 2013,Acoustics,,,Andrew Bullmore,Jeremy Butt
1005139,Relay House - 14 High Bullen - Wednesbury,Acoustics,Ongoing,Abridged Duties,08 Oct 2013,Acoustics,,,Jo Edwards,David Morris
1005140,Lythalls Lane - Coventry,Acoustics,Ongoing,Abridged Duties,08 Oct 2013,Acoustics,,,Jo Edwards,David Morris
1005141,Hapsford Hall turbines- Turbine Layouts,Acoustics,Ongoing,Abridged Duties,08 Oct 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005142,Summertown House - Eastern Block,Acoustics,Ongoing,Abridged Duties,08 Oct 2013,Acoustics,,,Andrew Bullmore,Gael Vilatarsana
1005143,Market Street - Newbury,Acoustics,Ongoing,Abridged Duties,08 Oct 2013,Acoustics,,,Jo Edwards,Brian Dennis
1005144,Cottage Farm - Feasibility Study,Acoustics,Ongoing,Abridged Duties,10 Oct 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005145,9 Elms Temporary Store,Acoustics,Ongoing,Abridged Duties,10 Oct 2013,Acoustics,,,Jo Edwards,David Morris
1005146,NEC Conference Centre & Banqueting at Resortworld,Acoustics,Ongoing,Abridged Duties,14 Oct 2013,,,,Jo Edwards,David Morris
1005147,Hilton Hotel - Airborne & Impact SI Testing,Acoustics,Ongoing,Abridged Duties,15 Oct 2013,,,,Jo Edwards,Sophie Maluski
1005148,St John's Centre - Sevenoaks (Positive Steps),Acoustics,Ongoing,Abridged Duties,15 Oct 2013,Acoustics,,,Jo Edwards,David Morris
1005149,Brougham Hayes - Bath,Acoustics,Ongoing,Abridged Duties,15 Oct 2013,Acoustics,,,Andrew Bullmore,Karl Simpson
1005150,Manchester Crown Court - Refurbishment,Acoustics,Ongoing,Abridged Duties,15 Oct 2013,Acoustics,,,Jo Edwards,Sophie Maluski
1005151,Land at Creech St Michael - Taunton - LHW,Acoustics,Ongoing,Abridged Duties,15 Oct 2013,Acoustics,,,Andrew Bullmore,Karl Simpson
1005152,Sancton Hill 2 Wind Farm - Extensions - NIA,Acoustics,Ongoing,Abridged Duties,16 Oct 2013,Acoustics,,,Andrew Bullmore,Richard Carter
1005153,Potato Wharf - Manchester,Acoustics,Ongoing,Abridged Duties,16 Oct 2013,Acoustics,,,Jo Edwards,David Morris
